ACT_RAW_000_LF_HAA,torque_hip_abduction_left
ACT_RAW_001_LF_HFE,torque_hip_rotation_left
ACT_RAW_002_LF_KFE,torque_hip_flexion_left
ACT_RAW_003_LH_HAA,torque_thigh_joint_left
ACT_RAW_004_LH_HFE,torque_ankle_joint_left
ACT_RAW_005_LH_KFE,torque_toe_joint_left
ACT_RAW_006_RF_HAA,torque_hip_abduction_right
ACT_RAW_007_RF_HFE,torque_hip_rotation_right
ACT_RAW_008_RF_KFE,torque_hip_flexion_right
ACT_RAW_009_RH_HAA,torque_thigh_joint_right
ACT_RAW_010_RH_HFE,torque_ankle_joint_right
ACT_RAW_011_RH_KFE,toe_joint_right